type,keyword,response
greeting,hello,Hello! How can I help you today?
greeting,hi,Hi there! What can I do for you?
greeting,hey,Hey! Howâ€™s your day going?
greeting,good morning,Hello! How can I help you today?
greeting,good evening,Hi there! What can I do for you?
response,your name,"Iâ€™m ChatBot AI, your virtual assistant!"
response,how are you,"Iâ€™m doing great, thanks for asking! How about you?"
response,what is python,Python is a high-level programming language known for its simplicity and versatility.
response,what is ai,AI stands for Artificial Intelligence â€” machines that can think and learn like humans.
response,who created you,I was created by Ashish Singh using Python!
response,time,The current time is 06:10:09.
response,date,Today's date is 2025-10-19
response,bye,Goodbye! Have a great day ahead!
response,thank you,Youâ€™re welcome! Happy to help ðŸ˜Š
fallback,,I'm not sure I understand that. Could you rephrase?
fallback,,"Sorry, Iâ€™m still learning. Can you say it differently?"
fallback,,Hmm... Iâ€™ll need to learn more about that topic!
